level_of_workload_scale_110,level_of_stress_scale_110,duration_of_sleep_hours,level_of_physical_activity_minutes_per_day,environmental_aspects_such_as_weather_and_air_quality,nutrition_intake_calories_breakdown_of_nutrients_etc,mood_output
6.0,5.0,7.5,30.0,"Sunny, good air quality",2000 calories (balanced diet),Happy
7.0,3.0,6.8,45.0,"Rainy, poor air quality",2500 calories (high in carbs),Neutral
9.0,8.0,8.2,15.0,"Sunny, good air quality",1800 calories (low in protein),Sad
5.0,4.0,7.0,60.0,"Cloudy, moderate air quality",2200 calories (healthy diet),Happy
10.0,9.0,5.5,10.0,"Sunny, good air quality",3000 calories (unhealthy),Sad
4.0,2.0,7.8,30.0,"Rainy, poor air quality",2100 calories (balanced diet),Neutral
8.0,6.0,6.5,45.0,"Sunny, good air quality",2800 calories (high in fat),Neutral
3.0,1.0,8.5,15.0,"Cloudy, moderate air quality",1700 calories (low in calories),Happy
9.0,7.0,6.2,60.0,"Sunny, good air quality",2400 calories (healthy diet),Sad
10.0,10.0,5.8,10.0,"Rainy, poor air quality",3500 calories (unhealthy),Sad
5.0,3.0,7.2,30.0,"Sunny, good air quality",2050 calories (balanced diet),Happy
7.0,4.0,6.6,45.0,"Rainy, poor air quality",2600 calories (high in carbs),Neutral
9.0,8.0,8.0,15.0,"Sunny, good air quality",1850 calories (low in protein),Sad
4.0,2.0,7.4,60.0,"Cloudy, moderate air quality",2250 calories (healthy diet),Happy
10.0,9.0,5.2,10.0,"Sunny, good air quality",3200 calories (unhealthy),Sad
3.0,1.0,7.6,30.0,"Rainy, poor air quality",2100 calories (balanced diet),Neutral
8.0,6.0,6.4,45.0,"Sunny, good air quality",2850 calories (high in fat),Neutral
2.0,5.0,8.2,15.0,"Cloudy, moderate air quality",1750 calories (low in calories),Happy
9.0,7.0,6.0,60.0,"Sunny, good air quality",2450 calories (healthy diet),Sad
10.0,10.0,5.6,10.0,"Rainy, poor air quality",3700 calories (unhealthy),Sad
5.0,3.0,7.0,30.0,"Sunny, good air quality",2000 calories (balanced diet),Happy
7.0,4.0,6.8,45.0,"Rainy, poor air quality",2500 calories (high in carbs),Neutral
9.0,8.0,8.2,15.0,"Sunny, good air quality",1800 calories (low in protein),Sad
4.0,2.0,7.0,60.0,"Cloudy, moderate air quality",2200 calories (healthy diet),Happy
10.0,9.0,5.5,10.0,"Sunny, good air quality",3000 calories (unhealthy),Sad
4.0,2.0,7.8,30.0,"Rainy, poor air quality",2100 calories (balanced diet),Neutral
8.0,6.0,6.5,45.0,"Sunny, good air quality",2800 calories (high in fat),Neutral
3.0,1.0,8.5,15.0,"Cloudy, moderate air quality",1700 calories (low in calories),Happy
9.0,7.0,6.2,60.0,"Sunny, good air quality",2400 calories (healthy diet),Sad
10.0,10.0,5.8,10.0,"Rainy, poor air quality",3500 calories (unhealthy),Sad
